keywords,ID,url,title,id,ENTRYTYPE,author,booktitle,doi,month,publisher,volume,year,issn,journal,number,isbn,pages,collection,series,editor,ISSN,ISBN
"defines:NS, use:quality",Hilasaca_2019,http://dx.doi.org/10.1109/iv.2019.00046,User-guided Dimensionality Reduction Ensembles,Hilasaca_2019,inproceedings,"Hilasaca, Gladys M. and Paulovich, Fernando V.",2019 23rd International Conference Information Visualisation (IV),10.1109/iv.2019.00046,"jul, pages",IEEE,290,2019,,,,,,,,,,
"defines:other, use:quality",Maciel_Peixoto_2019,http://dx.doi.org/10.1109/bracis.2019.00036,Multidimensional Projections Analysis Using Performance Evaluation Planning,Maciel_Peixoto_2019,inproceedings,"Maciel Peixoto, Maycon Leone and Roseira Pinheiro, Erick and Trindade de Araujo Tiburtino Neves, Tacito and Barbosa Coimbra, Danilo",2019 8th Brazilian Conference on Intelligent Systems (BRACIS),10.1109/bracis.2019.00036,"oct, pages",IEEE,,2019,,,,,,,,,,
"defines:NS,use:quality",Marc_lio_Jr_2019,http://dx.doi.org/10.1177/1473871619845093,Evaluation of approaches proposed to avoid overlap of markers in visualizations based on multidimensional projection techniques,Marc_lio_Jr_2019,article,"Marcílio-Jr, Wilson E and Eler, Danilo M and Garcia, Rogério E and Venturini Pola, Ives R",,10.1177/1473871619845093,"may, pages",SAGE Publications,18,2019,1473-8724,Information Visualization,4,,,,,,,
"defines:NS, correction-in-text, use:optimization",Brandes_2019,http://dx.doi.org/10.1007/978-3-030-26814-5_2,Network Visualization,Brandes_2019,inbook,"Brandes, Ulrik and Sedlmair, Michael",Network Science,10.1007/978-3-030-26814-5_2,,Springer International Publishing,,2019,,,,9783030268145,5–21,,,,,
"defines:ns, defines:other, uses:optimization, correction-in-text",Das_2019,http://dx.doi.org/10.1007/978-3-030-19823-7_35,An Unsupervised Fuzzy Rule-Based Method for Structure Preserving Dimensionality Reduction with Prediction Ability,Das_2019,inbook,"Das, Suchismita and Pal, Nikhil R.",Artificial Intelligence Applications and Innovations,10.1007/978-3-030-19823-7_35,,Springer International Publishing,,2019,1868-422X,,,9783030198237,413–424,,,,,
"defines:ns, uses:optimization, defines:other, has-implementation, has-graphs",Devkota_2019,http://dx.doi.org/10.1007/978-3-030-35802-0_23,Stress-Plus-X (SPX) Graph Layout,Devkota_2019,inbook,"Devkota, Sabin and Ahmed, Reyan and De Luca, Felice and Isaacs, Katherine E. and Kobourov, Stephen",Graph Drawing and Network Visualization,10.1007/978-3-030-35802-0_23,,Springer International Publishing,,2019,1611-3349,,,9783030358020,291–304,,,,,
defines:other,Blouvshtein_2019,http://dx.doi.org/10.1109/tpami.2018.2851513,Outlier Detection for Robust Multi-Dimensional Scaling,Blouvshtein_2019,article,"Blouvshtein, Leonid and Cohen-Or, Daniel",,10.1109/tpami.2018.2851513,"sep, pages",Institute of Electrical and Electronics Engineers (IEEE),41,2019,1939-3539,IEEE Transactions on Pattern Analysis and Machine Intelligence,9,,,,,,,
"use:quality, has:tables, defines:other, has:implementation, has-implementation",Ruz_2019,http://dx.doi.org/10.3390/s19132866,Simulation Tool for the Analysis of Cooperative Localization Algorithms for Wireless Sensor Networks,Ruz_2019,article,"Ruz, Mario and Garrido, Juan and Jiménez, Jorge and Virrankoski, Reino and Vázquez, Francisco",,10.3390/s19132866,"jun, pages",MDPI AG,19,2019,1424-8220,Sensors,13,,,,,,,
defines:NS,Sheng_2019,http://dx.doi.org/10.1109/ispa-bdcloud-sustaincom-socialcom48970.2019.00156,Research on Dynamic Graph Layout by Parallel Computing and Markov Process,Sheng_2019,inproceedings,"Sheng, Shiying and Wu, Chunyuan and Dong, Xiaoju and Chen, Shengtao","2019 IEEE Intl Conf on Parallel &amp; Distributed Processing with Applications, Big Data &amp; Cloud Computing, Sustainable Computing &amp; Communications, Social Computing &amp; Networking (ISPA/BDCloud/SocialCom/SustainCom)",10.1109/ispa-bdcloud-sustaincom-socialcom48970.2019.00156,"dec, pages",IEEE,31,2019,,,,,,,,,,
"defines:other, use:optimization, has-implementation",Zhan_2019,http://dx.doi.org/10.1109/access.2019.2953086,IES-Backbone: An Interactive Edge Selection Based Backbone Method for Small World Network Visualization,Zhan_2019,article,"Zhan, Cheng and Zhang, Daobing and Wang, Yang and Lin, Daoyu and Wang, Hui",,10.1109/access.2019.2953086,,Institute of Electrical and Electronics Engineers (IEEE),7,2019,2169-3536,IEEE Access,,,166415–166427,,,,,
"defines:ns, use:optimization, use:quality, has-implementation, defines:other",Zheng_2019,http://dx.doi.org/10.1109/tvcg.2018.2859997,Graph Drawing by Stochastic Gradient Descent,Zheng_2019,article,"Zheng, Jonathan X. and Pawar, Samraat and Goodman, Dan F. M.",,10.1109/tvcg.2018.2859997,"sep, pages",Institute of Electrical and Electronics Engineers (IEEE),25,2019,2160-9306,IEEE Transactions on Visualization and Computer Graphics,9,,,,,,,
use:quality,Cai_2021,http://dx.doi.org/10.1109/pacificvis52677.2021.00009,A Machine Learning Approach for Predicting Human Preference for Graph Layouts,Cai_2021,inproceedings,"Cai, Shijun and Hong, Seok-Hee and Shen, Jialiang and Liu, Tongliang",2021 IEEE 14th Pacific Visualization Symposium (PacificVis),10.1109/pacificvis52677.2021.00009,"apr, pages",IEEE,2,2021,,,,,,,,,,
defines:NS,Boyarski_2021,http://dx.doi.org/10.1007/978-3-030-63416-2_827,Multidimensional Scaling,Boyarski_2021,inbook,"Boyarski, Amit and Bronstein, Alex",Computer Vision,10.1007/978-3-030-63416-2_827,,Springer International Publishing,,2021,,,,9783030634162,836–849,,,,,
"defines:NS, has-tables",Dzemyda_2021,http://dx.doi.org/10.1016/j.amc.2020.125561,Geometric multidimensional scaling: A new approach for data dimensionality reduction,Dzemyda_2021,article,"Dzemyda, Gintautas and Sabaliauskas, Martynas",,10.1016/j.amc.2020.125561,"nov, pages",Elsevier BV,409,2021,0096-3003,Applied Mathematics and Computation,,,,,,,,
"defines:NS, has-tables, has-implementation",Espadoto_2021,http://dx.doi.org/10.1109/tvcg.2019.2944182,Toward a Quantitative Survey of Dimension Reduction Techniques,Espadoto_2021,article,"Espadoto, Mateus and Martins, Rafael M. and Kerren, Andreas and Hirata, Nina S. T. and Telea, Alexandru C.",,10.1109/tvcg.2019.2944182,"mar, pages",Institute of Electrical and Electronics Engineers (IEEE),27,2021,2160-9306,IEEE Transactions on Visualization and Computer Graphics,3,,,,,,,
"defines:other, has-tables",Giovannangeli_2021,http://dx.doi.org/10.1007/978-3-030-92931-2_27,"Deep Neural Network for DrawiNg Networks, $${(DNN)^{\textit{2}\,}} $$",Giovannangeli_2021,inbook,"Giovannangeli, Loann and Lalanne, Frederic and Auber, David and Giot, Romain and Bourqui, Romain",Graph Drawing and Network Visualization,10.1007/978-3-030-92931-2_27,,Springer International Publishing,,2021,1611-3349,,,9783030929312,375–390,,,,,
"defines:other, has-implementation",Hossain_2021,http://dx.doi.org/10.1109/tvcg.2020.3030373,"Multi-Perspective, Simultaneous Embedding",Hossain_2021,article,"Hossain, Md Iqbal and Huroyan, Vahan and Kobourov, Stephen and Navarrete, Raymundo",,10.1109/tvcg.2020.3030373,"feb, pages",Institute of Electrical and Electronics Engineers (IEEE),27,2021,2160-9306,IEEE Transactions on Visualization and Computer Graphics,2,,,,,,,
"use:quality,defines:NS",Hu_2021,http://dx.doi.org/10.1007/s41109-021-00405-3,BC tree-based spectral sampling for big complex network visualization,Hu_2021,article,"Hu, Jingming and Chu, Tuan Tran and Hong, Seok-Hee and Chen, Jialu and Meidiana, Amyra and Torkel, Marnijati and Eades, Peter and Ma, Kwan-Liu",,10.1007/s41109-021-00405-3,aug,Springer Science and Business Media LLC,6,2021,2364-8228,Applied Network Science,1,,,,,,,
"defines:NS, has-tables",Meidiana_2021,http://dx.doi.org/10.1109/pacificvis52677.2021.00030,Sublinear-time Algorithms for Stress Minimization in Graph Drawing,Meidiana_2021,inproceedings,"Meidiana, Amyra and Wood, James and Hong, Seok-Hee",2021 IEEE 14th Pacific Visualization Symposium (PacificVis),10.1109/pacificvis52677.2021.00030,"apr, pages",IEEE,25,2021,,,,,,,,,,
defines:NS,Sheng_2021,http://dx.doi.org/10.1007/s11390-021-9910-5,Inverse Markov Process Based Constrained Dynamic Graph Layout,Sheng_2021,article,"Sheng, Shi-Ying and Chen, Sheng-Tao and Dong, Xiao-Ju and Wu, Chun-Yuan and Yuan, Xiao-Ru",,10.1007/s11390-021-9910-5,"may, pages",Springer Science and Business Media LLC,36,2021,1860-4749,Journal of Computer Science and Technology,3,,,,,,,
defines:NS,Ahmed_2020,http://dx.doi.org/10.1007/978-3-030-68766-3_1,"Graph Drawing via Gradient Descent, $$(GD)^2$$",Ahmed_2020,inbook,"Ahmed, Reyan and De Luca, Felice and Devkota, Sabin and Kobourov, Stephen and Li, Mingwei",Graph Drawing and Network Visualization,,,Springer International Publishing,,2020,,,,,3–17,,,,1611-3349,9783030687663
defines:other,Meidiana_2020,http://dx.doi.org/10.1007/978-3-030-68766-3_35,New Quality Metrics for Dynamic Graph Drawing,Meidiana_2020,inbook,"Meidiana, Amyra and Hong, Seok-Hee and Eades, Peter",Graph Drawing and Network Visualization,,,Springer International Publishing,,2020,,,,,450–465,,,,1611-3349,9783030687663
"defines:NS, correction-in-text",Rahman_2020,http://dx.doi.org/10.1109/pacificvis48177.2020.3756,BatchLayout: A Batch-Parallel Force-Directed Graph Layout Algorithm in Shared Memory,Rahman_2020,inproceedings,"Rahman, Md. Khaledur and Haque Sujon, Majedul and Azad, Ariful",2020 IEEE Pacific Visualization Symposium (PacificVis),,jun,IEEE,10,2020,,,,,16–25,,,,,
"defines:NS, use:optimization, use:quality ",Olauson_2020,http://dx.doi.org/10.1109/jsyst.2019.2959632,Creating Power System Network Layouts: A Fast Parallel Algorithm,Olauson_2020,article,"Olauson, Jon and Marin, Manuel and Soder, Lennart",,,sep,Institute of Electrical and Electronics Engineers (IEEE),14,2020,,IEEE Systems Journal,3,,3687–3694,,,,2373-7816,
"defines:KK, use:quality",Lu_2020,http://dx.doi.org/10.1007/s11227-020-03226-w,Clustering-based force-directed algorithms for 3D graph visualization,Lu_2020,article,"Lu, Jiawei and Si, Yain-Whar",,,mar,Springer Science and Business Media LLC,76,2020,,The Journal of Supercomputing,12,,9654–9715,,,,1573-0484,
"defines:NS, use:optimization",Park_2020,http://dx.doi.org/10.3390/math8061020,A Simple Method for Network Visualization,Park_2020,article,"Park, Jintae and Yoon, Sungha and Lee, Chaeyoung and Kim, Junseok",,,jun,MDPI AG,8,2020,,Mathematics,6,,1020,,,,2227-7390,
"defines:NS, use:optimization, textbook",Boyarski_2020,http://dx.doi.org/10.1007/978-3-030-03243-2_827-1,Multidimensional Scaling,Boyarski_2020,inbook,"Boyarski, Amit and Bronstein, Alex",Computer Vision,,,Springer International Publishing,,2020,,,,,1–14,,,,,9783030032432
"defines:NS, use:quality",Teixeira_2020,http://dx.doi.org/10.1109/iv51561.2020.00037,A class-based evaluation approach to assess multidimensional projections,Teixeira_2020,inproceedings,"Teixeira, Jaqueline and Marcilio, Wilson E. and Eler, Danilo M. and Artero, Almir and Brandoli, Bruno",2020 24th International Conference Information Visualisation (IV),,sep,IEEE,0,2020,,,,,174–181,,,,,
"defines:NS, use:quality",Xue_2022,http://dx.doi.org/10.1109/tvcg.2022.3209371,Taurus: Towards a Unified Force Representation and Universal Solver for Graph Layout,Xue_2022,article,"Xue, Mingliang and Wang, Zhi and Zhong, Fahai and Wang, Yong and Xu, Mingliang and Deussen, Oliver and Wang, Yunhai",,,,Institute of Electrical and Electronics Engineers (IEEE),,2022,,IEEE Transactions on Visualization and Computer Graphics,,,1–10,,,,2160-9306,
"defines:NS, use:optimization",Yu_2022,http://dx.doi.org/10.1109/pacificvis53943.2022.00015,UNICON: A UNIform CONstraint Based Graph Layout Framework,Yu_2022,inproceedings,"Yu, Jiacheng and Hu, Yifan and Yuan, Xiaoru",2022 IEEE 15th Pacific Visualization Symposium (PacificVis),,apr,IEEE,42,2022,,,,,61–70,,,,,
"defines:NS, use:optimization, use:quality, has-implementation, has-tables",Ahmed_2022,http://dx.doi.org/10.1109/tvcg.2022.3155564,"Multicriteria Scalable Graph Drawing via Stochastic Gradient Descent, (SGD)^2",Ahmed_2022,article,"Ahmed, Reyan and De Luca, Felice and Devkota, Sabin and Kobourov, Stephen G and Li, Mingwei",,,,Institute of Electrical and Electronics Engineers (IEEE),,2022,,IEEE Transactions on Visualization and Computer Graphics,,,1–1,,,,2160-9306,
"defines:NS,use:quality",Arleo_2022,http://dx.doi.org/10.1111/cgf.14615,Event‐based Dynamic Graph Drawing without the Agonizing Pain,Arleo_2022,article,"Arleo, A. and Miksch, S. and Archambault, D.",,,jul,Wiley,41,2022,,Computer Graphics Forum,6,,226–244,,,,1467-8659,
"defines:NS,use:quality",Xiao_2022,http://dx.doi.org/10.1007/s41060-022-00348-7,Optimizing graph layout by t-SNE perplexity estimation,Xiao_2022,article,"Xiao, Chun and Hong, Seokhee and Huang, Weidong",,,jul,Springer Science and Business Media LLC,15,2022,,International Journal of Data Science and Analytics,2,,159–171,,,,2364-4168,
"defines:SNS,use:quality",Heiter_2022,http://dx.doi.org/10.1109/mcg.2022.3160104,Evaluating Representation Learning and Graph Layout Methods for Visualization,Heiter_2022,article,"Heiter, Edith and Kang, Bo and De Bie, Tijl and Lijffijt, Jefrey",,,may,Institute of Electrical and Electronics Engineers (IEEE),42,2022,,IEEE Computer Graphics and Applications,3,,19–28,,,,1558-1756,
"defines:NS,use:optimization",Miller_2023,http://dx.doi.org/10.1007/978-3-031-49272-3_15,On the Perception of Small Sub-graphs,Miller_2023,inbook,"Miller, Jacob and Ghoniem, Mohammad and Wu, Hsiang-Yun and Purchase, Helen C.",Graph Drawing and Network Visualization,,,Springer Nature Switzerland,,2023,,,,,213–230,,,,1611-3349,9783031492723
"defines:NS,use:optimization",Giovannangeli_2024,http://dx.doi.org/10.1109/tvcg.2022.3222186,Toward Efficient Deep Learning for Graph Drawing (DL4GD),Giovannangeli_2024,article,"Giovannangeli, Loann and Lalanne, Frederic and Auber, David and Giot, Romain and Bourqui, Romain",,,feb,Institute of Electrical and Electronics Engineers (IEEE),30,2024,,IEEE Transactions on Visualization and Computer Graphics,2,,1516–1532,,,,2160-9306,
"defines:NS,use:quality",Simonetto_2020,http://dx.doi.org/10.1109/tvcg.2018.2886901,Event-Based Dynamic Graph Visualisation,Simonetto_2020,article,"Simonetto, Paolo and Archambault, Daniel and Kobourov, Stephen",,,jul,Institute of Electrical and Electronics Engineers (IEEE),26,2020,,IEEE Transactions on Visualization and Computer Graphics,7,,2373–2386,,,,2160-9306,